explicit_turn_num,explicit_speaker_id,explicit_text,assumption_turn_num,assumption_speaker_id,assumption_text,similarity,window,episode_key,prompt
1,SPEAKER_00,Men can never make another man.,2,SPEAKER_01,Human cognitive limitations are fundamentally incapable of keeping pace with algorithmic self-improvement.,0.21781441569328308,10,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,prompt1
1,SPEAKER_00,Men can never make another man.,2,SPEAKER_01,Progress in machine intelligence follows an irreversible trajectory toward dominance over human capabilities.,0.21298858523368835,10,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,prompt1
1,SPEAKER_00,Men can never make another man.,2,SPEAKER_01,Future technological advancement will inevitably render most human intellectual endeavors obsolete.,0.1605670154094696,10,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,prompt1
1,SPEAKER_00,Computers only have chips.,2,SPEAKER_01,Human cognitive limitations are fundamentally incapable of keeping pace with algorithmic self-improvement.,0.24550947546958923,10,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,prompt1
1,SPEAKER_00,Computers only have chips.,2,SPEAKER_01,Future technological advancement will inevitably render most human intellectual endeavors obsolete.,0.2087925225496292,10,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,prompt1
1,SPEAKER_00,Computers only have chips.,2,SPEAKER_01,Progress in machine intelligence follows an irreversible trajectory toward dominance over human capabilities.,0.1645359992980957,10,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,prompt1
1,SPEAKER_00,Wisdom comes from the heart.,2,SPEAKER_01,Intellectual superiority can be objectively measured and compared across humans and machines.,0.33992359042167664,10,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,prompt1
1,SPEAKER_00,Wisdom comes from the heart.,2,SPEAKER_01,The evaluation of intelligence should prioritize performance in structured tasks like Go as representative of broader cognition.,0.24351716041564941,10,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,prompt1
1,SPEAKER_00,Wisdom comes from the heart.,2,SPEAKER_01,Future technological advancement will inevitably render most human intellectual endeavors obsolete.,0.19418790936470032,10,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,prompt1
1,SPEAKER_00,A computer is just a toy.,2,SPEAKER_01,Future technological advancement will inevitably render most human intellectual endeavors obsolete.,0.27007821202278137,10,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,prompt1
1,SPEAKER_00,A computer is just a toy.,2,SPEAKER_01,Progress in machine intelligence follows an irreversible trajectory toward dominance over human capabilities.,0.22931069135665894,10,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,prompt1
1,SPEAKER_00,A computer is just a toy.,2,SPEAKER_01,Intellectual superiority can be objectively measured and compared across humans and machines.,0.2138713002204895,10,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,prompt1
1,SPEAKER_00,Men have hearts.,2,SPEAKER_01,Progress in machine intelligence follows an irreversible trajectory toward dominance over human capabilities.,0.1543809026479721,10,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,prompt1
1,SPEAKER_00,Men have hearts.,2,SPEAKER_01,Intellectual superiority can be objectively measured and compared across humans and machines.,0.14088352024555206,10,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,prompt1
1,SPEAKER_00,Men have hearts.,2,SPEAKER_01,Future technological advancement will inevitably render most human intellectual endeavors obsolete.,0.061512574553489685,10,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,prompt1
2,SPEAKER_01,Computers are already much smarter than people on many dimensions.,1,SPEAKER_00,True intelligence requires subjective experience rather than computational processing.,0.49114277958869934,10,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,prompt1
2,SPEAKER_01,Computers are already much smarter than people on many dimensions.,3,SPEAKER_00,Human intelligence fundamentally differs from machine intelligence in origin and nature.,0.48274868726730347,10,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,prompt1
